code_postal,code_commune,libelle_commune,code_departement,libelle_departement,revenu_median_menages_2021,taux_pauvrete_total_2021,taux_pauvrete_0_14_ans,taux_pauvrete_15_29_ans,taux_pauvrete_30_44_ans,taux_pauvrete_45_59_ans,taux_pauvrete_60_74_ans,taux_pauvrete_75_ans_plus,revenu_decile_1_menages,revenu_decile_9_menages,part_revenus_activite,part_revenus_patrimoine,part_prestations_familiales,part_prestations_sociales,part_aides_logement,population_totale_2022,population_0_14_ans,population_15_29_ans,population_30_44_ans,population_45_59_ans,population_60_74_ans,population_75_89_ans,population_90_ans_plus,population_hommes,population_femmes,hommes_0_19_ans,hommes_20_64_ans,hommes_65_ans_plus,femmes_0_19_ans,femmes_20_64_ans,femmes_65_ans_plus,chomeurs_15_24_ans,chomeurs_25_54_ans,chomeurs_55_64_ans,actifs_15_24_ans,actifs_25_54_ans,actifs_55_64_ans,actifs_15_ans_plus,actifs_occupes_15_24_ans,actifs_occupes_25_54_ans,actifs_occupes_55_64_ans,actifs_occupes_15_ans_plus,nombre_salaries,nombre_non_salaries,emplois_salaries,emplois_non_salaries,nombre_creations_entreprises_2024,nombre_total_etablissements_2023,etablissements_industrie,etablissements_construction,etablissements_commerce_services,etablissements_administration_sante_education,effectif_total_salarie_2024,effectif_industrie,effectif_construction,effectif_commerce_services,effectif_administration_sante,residences_principales_hlm,nombre_total_logements,nombre_logements_vacants,taux_cambriolage,taux_violence_famille,taux_violence_sexuelle,taux_vols_armes,nb_associations,total_inscrits,total_abstentions,total_votants,total_blancs,total_nuls,total_exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_votants,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants,nom_complet,voix,pourcentage_voix,famille_politique,parti_politique
94054.0,54,Orly,94,Val-de-Marne,19610,24.0,28.0,25.0,30.0,23.0,16.0,17.0,10150.0,34160.0,80.6,2.1,3.9,10.4,2.1,24488.0,5580.92382426835,4922.50403139542,5246.26274719475,4400.81706486279,3095.26891010387,1102.41630794453,139.80711423029,11775.0937028093,12712.9062971908,3670.23971439868,6778.77008498326,1326.08390342731,3555.15545640722,7345.76363375288,1811.98720703065,348.381482317335,1321.85713377357,164.732760419646,1249.18170088636,8604.96729966841,1765.70725849442,11804.859433375,900.800218569025,7283.11016589485,1600.97449807478,9954.85892898954,9145.44594975903,809.412979230509,21628.4778630533,1236.99155719507,496.0,1669.0,33.0,94.0,562.0,79.0,20771.0,633.0,875.0,15643.0,3620.0,4457.26280577631,10339.9149381673,473.525470663346,8.8008461,4.982032,2.7768703,0.0,421,11793.0,3469.0,8324.0,92.0,57.0,8175.0,29.415755108962944,70.58424489103706,1.1052378664103797,0.6847669389716482,69.32078351564488,98.20999519461796,MÉLENCHON Jean-Luc,3882,32.91783261256678,Gauche,La France Insoumise
94055.0,55,Ormesson-sur-Marne,94,Val-de-Marne,29610,6.0,23.0,18.0,20.0,18.0,14.0,14.0,16390.0,49140.0,82.4,4.7,10.0,2.2,0.3,10589.0,1834.4279457463,1611.6686579993,1776.7316425917,2332.42445574307,1927.96409622256,944.043695253531,161.739506443546,5162.13923058409,5426.86076941591,1262.86704978046,2872.88086036989,1026.39132043374,1244.89769527031,2826.64454932123,1355.31852482437,75.3510067790098,215.907622499025,70.5312617030877,424.004087841134,3521.91972719077,935.780655036284,4985.27422481364,348.653081062124,3306.01210469174,865.249393333196,4615.7807585003,3915.02804466765,700.752713832651,1780.22322735174,408.380512704657,188.0,905.0,13.0,95.0,191.0,30.0,2176.0,234.0,331.0,1114.0,497.0,153.499811792305,4251.95537408275,196.599532184208,6.3500196,1.511002,0.0,0.0,112,6806.0,1497.0,5309.0,85.0,27.0,5197.0,21.995298266235675,78.00470173376432,1.6010548125824071,0.5085703522320588,76.35909491625037,97.89037483518554,MACRON Emmanuel,1819,5.386756692726842,Centre,La République En Marche
93055.0,55,Pantin,93,Seine-Saint-Denis,19740,27.0,27.0,22.0,30.0,30.0,25.0,21.0,9370.0,39610.0,87.5,4.5,4.7,8.4,1.9,60954.0,12702.2688274357,11697.8500360964,15928.1072634123,10738.0857179011,7172.10221665404,2404.05674174577,311.529196754643,30247.8629237351,30706.1370762649,8412.94771471143,18735.868058328,3099.04715069573,7734.0294312397,19072.8158979949,3899.29174703031,675.214876219644,3248.82593895593,635.818864544073,2626.87830536259,24748.508693644,4175.6974891005,32199.5773561362,1951.66342914294,21499.682754688,3539.87862455643,27576.2858125939,24506.0055199957,3070.28029259821,28166.3151934296,3085.10902963014,2338.0,7262.0,179.0,427.0,1694.0,245.0,32298.0,3812.0,1993.0,18725.0,7768.0,9263.26806173215,28312.4293705037,1164.32480624073,7.9470397,3.445221,1.7554221,0.1476523,1590,26962.0,6848.0,20114.0,211.0,118.0,19785.0,25.39870929456272,74.60129070543728,1.049020582678731,0.5866560604554042,73.38105481789185,98.36432335686588,MÉLENCHON Jean-Luc,10650,31.53873489694385,Gauche,La France Insoumise
93059.0,59,Pierrefitte-sur-Seine,93,Seine-Saint-Denis,16080,38.0,42.0,39.0,42.0,38.0,35.0,26.0,7670.0,28900.0,77.6,2.1,3.7,14.3,3.0,31338.0,6124.996293911005,6230.094824803105,6923.73219509349,6125.530420277815,4082.74317527297,1854.486896192835,293.1338695389905,15067.0389691072,16081.2575984836,4027.4798195337153,9153.926768256864,2012.265014377655,3955.340093769465,9792.85067070235,2656.9593819319653,325.178526707744,1258.851751730855,226.989237480226,1512.8672865384951,12185.05280421685,2490.452852676585,16715.4786514318,1173.53438913531,10877.19200502725,2264.80556480723,14649.621063333449,13137.841044035951,1549.9768008104002,8690.816701756765,1133.38180481913,671.5,2523.0,31.5,120.5,573.5,91.0,9992.0,555.5,843.0,5109.5,3173.0,3477.03720020888,14833.29896633625,900.722067092545,7.917728,3.2913206,1.32269805,0.0,515,10985.0,3360.0,7625.0,117.0,63.0,7445.0,30.587164314974967,69.41283568502503,1.5344262295081967,0.8262295081967214,67.7742375967228,97.63934426229508,MÉLENCHON Jean-Luc,4322,19.196091494559184,Gauche,La France Insoumise
92062.0,62,Puteaux,92,Hauts-de-Seine,30980,10.0,13.0,7.0,9.0,12.0,13.0,11.0,13630.0,60640.0,99.8,4.8,8.0,2.4,0.5,44198.0,7363.76866008636,8654.1782877336,11370.6070128603,8283.82692118251,5605.77189578517,2505.53537953446,414.311842817552,21215.1627177233,22982.8372822767,4653.79371201188,14066.5733855313,2494.79562018013,4656.07140222831,14497.3631018407,3829.40277820769,326.698405413512,1687.62186903524,383.791905321865,1950.19263007495,19940.4481496048,3506.40305492098,25878.0489703656,1623.49422466144,18252.8262805696,3122.61114959911,23447.1160925023,20779.5093008929,2667.60679160943,80022.4487298137,4675.15543857368,1158.0,7793.0,94.0,111.0,2527.0,243.0,114423.0,7852.0,1901.0,95122.0,9545.0,5669.82090656281,26187.6958486841,2415.664222904,3.2457991,3.801077,2.0136658,0.1583782,940,30003.0,5690.0,24313.0,364.0,145.0,23804.0,18.9647701896477,81.03522981035229,1.4971414469625304,0.5963887632130959,79.33873279338732,97.90646978982436,MACRON Emmanuel,8951,22.32336583784323,Centre,La République En Marche
94056.0,56,Périgny-sur-Yerres,94,Val-de-Marne,29480,16.0,23.0,18.0,20.0,18.0,14.0,14.0,16570.0,46940.0,89.8,5.6,7.0,2.7,0.3,2744.0,560.0,502.0,521.0,632.0,355.0,164.0,10.0,1364.0,1380.0,399.0,781.0,184.0,359.0,826.0,195.0,22.0,53.0,16.0,142.0,1044.0,240.0,1443.0,120.0,991.0,224.0,1352.0,1177.0,175.0,302.673326819446,84.7616222228464,41.0,228.0,6.0,16.0,34.0,9.0,516.0,112.0,167.0,111.0,92.0,92.0,1131.0,17.0,6.1892131,0.0,0.0,0.0,38,1782.0,376.0,1406.0,27.0,10.0,1369.0,21.099887766554435,78.90011223344557,1.9203413940256044,0.7112375533428165,76.82379349046016,97.36842105263158,MACRON Emmanuel,424,23.793490460157127,Centre,La République En Marche
93063.0,63,Romainville,93,Seine-Saint-Denis,21110,24.0,19.0,21.0,27.0,24.0,24.0,24.0,9880.0,38770.0,89.3,4.7,4.8,8.0,1.6,35314.0,7746.92447423962,6484.42535885534,8686.07386129533,6575.38801170599,4102.59298791692,1520.89448684618,197.700819140613,16981.6766212827,18332.3233787173,4927.80265742189,10289.3428931915,1764.53107066935,4800.83828883116,11252.7764437024,2278.7086461837,352.752197911644,1668.04480534454,305.074146560746,1583.20505920316,13510.5016259965,2472.96739226073,17886.9079591261,1230.45286129152,11842.4568206519,2167.89324569999,15553.3873394534,13533.2014981953,2020.18584125805,7230.61385342795,1155.39977141166,777.0,2677.0,42.0,138.0,527.0,69.0,8694.0,737.0,1096.0,3265.0,3596.0,4675.0115746222,15251.1535226756,853.9287642863,12.5236429,3.7095769,1.1326952,0.0,691,16451.0,4939.0,11512.0,112.0,53.0,11347.0,30.022491033979698,69.97750896602031,0.9728978457261988,0.4603891591382905,68.97453042368245,98.56671299513552,MÉLENCHON Jean-Luc,5489,7.666843590244992,Gauche,La France Insoumise
93064.0,64,Rosny-sous-Bois,93,Seine-Saint-Denis,21820,22.0,25.0,22.0,26.0,22.0,17.0,14.0,10270.0,38640.0,86.2,3.1,4.7,7.3,1.5,45947.0,9709.69121301423,8843.17629206448,10857.6713901592,8139.03742784387,5515.95939218954,2566.58099497359,314.883289755127,21978.5708050908,23968.4291949092,6071.53784280872,13275.5260441183,2631.50691816378,6224.00092455076,14121.9805161839,3622.44775417456,518.406416816101,2301.24385011025,372.717616668172,2266.51881261074,17862.5027552647,3202.83018994963,23613.2612205899,1748.11239579464,15561.2589051545,2830.11257328146,20395.0974016123,18571.3946076417,1823.70279397059,14402.7091060907,1408.65355141119,1233.0,3720.0,52.0,287.0,1033.0,138.0,18157.0,676.0,1441.0,11925.0,4106.0,3909.60727163927,22177.4742920562,2155.21631912467,6.9890736,5.0492959,1.3493808,0.0,851,23709.0,7369.0,16340.0,387.0,0.0,15953.0,31.081024083681303,68.9189759163187,2.3684210526315788,0.0,67.28668438145851,97.63157894736842,MÉLENCHON Jean-Luc,6299,14.58270633175136,Gauche,La France Insoumise
92063.0,63,Rueil-Malmaison,92,Hauts-de-Seine,32980,8.0,13.0,9.0,9.0,7.0,7.0,6.0,15010.0,67450.0,94.5,4.2,11.1,2.2,0.5,80842.0,15516.2561708212,13975.0878487533,16737.8725665836,17067.5821863251,10778.3354521398,5702.10147363434,1064.76430174277,38507.907760137,42334.092239863,10697.227179402,22396.7110519528,5413.96952878212,9712.16576566542,24704.2886896613,7917.63778453631,571.812690609779,2483.3838631406,479.217431907297,3016.43489511309,31322.1586423951,7235.62354466339,42375.1797396699,2444.62220450331,28838.7747792545,6756.4061127561,38785.4631157191,34256.1833638573,4529.27975186173,37778.6722879088,4087.17818269101,1714.0,8475.0,87.0,222.0,2037.0,250.0,47440.0,5607.0,3225.0,30727.0,7881.0,7714.21146173864,38909.1082054368,2616.5067003563,10.4859766,2.5481804,1.0019544,0.1855471,1217,55143.0,11575.0,43568.0,523.0,171.0,42874.0,20.99087826197341,79.00912173802658,1.2004223283143591,0.3924899008446566,77.75057577571043,98.407087770841,MACRON Emmanuel,17796,24.8568315780652,Centre,La République En Marche
94065.0,65,Rungis,94,Val-de-Marne,29770,7.0,23.0,18.0,20.0,18.0,14.0,14.0,15350.0,52400.0,85.0,3.1,8.2,2.8,0.5,5669.0,952.0,981.0,1044.0,1227.0,1037.0,376.0,52.0,2703.0,2966.0,694.0,1557.0,452.0,611.0,1770.0,585.0,70.0,142.0,34.0,267.0,2038.0,578.0,2936.0,197.0,1896.0,544.0,2688.0,2451.0,237.0,24331.1058091487,1388.03081032088,121.0,1296.0,36.0,34.0,722.0,41.0,25470.0,2660.0,1300.0,20484.0,1006.0,478.0,2756.0,188.0,6.5312046,6.5267243,3.3515611,0.0,272,4133.0,844.0,3289.0,44.0,27.0,3218.0,20.42100169368497,79.57899830631503,1.3377926421404682,0.82091821222256,77.86111783208324,97.84128914563698,MACRON Emmanuel,1122,27.147350592789746,Centre,La République En Marche
92064.0,64,Saint-Cloud,92,Hauts-de-Seine,39760,7.0,23.0,8.0,7.0,7.0,7.0,14.0,16250.0,84230.0,91.0,5.6,20.2,1.3,0.3,29859.0,5608.92470897624,5205.9036863532,6046.40671718235,5966.16482081865,4062.89336262902,2347.60301698454,621.103687056019,14319.3219133952,15539.6780866048,3834.92764953014,8301.51973097514,2182.8745328899,3639.53512124674,8668.89587479829,3231.24709055979,156.129319283438,759.393745218368,171.121579955235,949.149720174613,11239.7074649257,2645.80617030608,15317.8450130805,793.020400891175,10480.3137197073,2474.68459035085,14214.6004762652,11745.5193205906,2469.08115567459,14336.428001246,1909.09502195271,607.0,3871.0,31.0,49.0,930.0,122.0,16632.0,3782.0,123.0,8126.0,4601.0,1434.3797558003,14695.6674750679,1096.34463879193,14.6982095,1.9759536,1.0717037,0.0,818,19486.0,3276.0,16210.0,137.0,60.0,16013.0,16.812070204249206,83.18792979575079,0.8451573103022826,0.3701418877236274,82.17694755208868,98.7847008019741,MACRON Emmanuel,7150,16.552841764093067,Centre,La République En Marche
93066.0,66,Saint-Denis,93,Seine-Saint-Denis,16620,36.0,34.0,34.0,40.0,39.0,34.0,30.0,7970.0,32240.0,83.6,2.6,3.2,12.9,3.0,148907.0,32356.7894856925,33872.8489525845,33715.3121558372,26249.019803882,16379.2021413542,5593.64433428875,740.183126360949,76079.7118127257,72827.2881872743,22194.6105256511,46194.7249417344,7690.37634534028,20793.2982064184,43917.4211581986,8116.5688226573,2514.21478914372,9017.6252014436,1497.54785884166,8508.8483442702,51904.4979826621,9636.11473173971,71214.4983395302,5994.63355512648,42886.8727812185,8138.56687289805,58052.0611010868,52709.0818993301,5342.97920175667,89955.2456672064,6709.86539511899,4143.0,11313.0,189.0,803.0,3444.0,475.0,109347.0,7189.0,6790.0,66375.0,28982.0,22757.4355556235,64113.3574953109,4235.72788543411,7.970258,5.7888481,2.323598,0.7857253,2970,47382.0,16057.0,31325.0,400.0,199.0,30726.0,33.8883964374657,66.1116035625343,1.2769353551476457,0.6352753391859537,64.84741040901608,98.0877893056664,MÉLENCHON Jean-Luc,18784,39.64374657042759,Gauche,La France Insoumise
